,Feature,Car 1,Car 2,Status
0,Kit de movilidad M en maletero (i/ compresor de 12 V y material antipinchazo),De serie,N/A,Different
1,Persianas solares en luneta trasera (eléctrica) y ventanillas laterales traseras,605 €,N/A,Different
2,Manillas de puertas en color carrocería,De serie,N/A,Different
3,Control de crucero,De serie,N/A,Different
4,Cristales laminados de seguridad de confort climático,1.430 €,N/A,Different
5,Mando a distancia universal (Home link),N/A,290 €,Different
6,Volante con ajuste horizontal,N/A,De serie,Different
7,Control electrónico de la amortiguación (EDC),De serie,N/A,Different
8,Llantas delanteras,8.5 x 19,8.5 x 18,Different
9,Reproductor de DVD,N/A,Sólo en paquete,Different
10,Asistente de aparcamiento park assist,N/A,Sólo en paquete,Different
11,Cámara de visión trasera (sólo con audi parking system plus o park assist),N/A,550 €,Different
12,Asistente de arranque,De serie,N/A,Different
13,Radio digital DAB,N/A,390 €,Different
14,Indicador de temperatura exterior,De serie,N/A,Different
15,Climatizador con volumen ampliado (bizona),De serie,N/A,Different
16,Altura,1.469 mm,1.345 mm,Different
17,Dirección progresiva (desmultiplicación variable),N/A,De serie,Different
18,Estructura suspensión trasera,Paralelogramo deformable,Paralelogramo deformable,Same
19,Número de plazas,5,2,Different
20,Tracción,Trasera,Total,Different
21,Asientos delanteros con ajuste de altura,N/A,De serie,Different
22,Parabrisas antitérmico,N/A,De serie,Different
23,Superficie frontal,"2,26 m²","2,09 m²",Different
24,Llantas de aleación M 19 (del. 255/40 tras. 285/35) de radios radiales (estilo 166 M),De serie,N/A,Different
25,Guarnecido interior del techo en Alcantara antracita,1.728 €,N/A,Different
26,"Audi sound system (9 altavoces, 155 W)",N/A,De serie,Different
27,Pintura metalizada y efecto perla,N/A,845 €,Different
28,Airbags laterales delanteros,N/A,De serie,Different
29,Precio (con descuento y equipamiento seleccionado)64.670 €,N/A,Coste opciones seleccionadas: 0 €,Different
30,Línea cromada exterior,0 €,N/A,Different
31,Retrovisor interior con antideslumbramiento automático,N/A,Sólo en paquete,Different
32,Caja de cambios secuencial SMG Drivelogic,De serie,N/A,Different
33,Antenas integradas en luneta trasera,De serie,N/A,Different
34,Pintura metalizada,De serie,N/A,Different
35,Barra estabilizadora trasera,Sí,Sí,Same
36,Llantas de aleación de 48 cm - 9 x 19 (245/35) de 5 brazos facetados (CV9),N/A,1.320 €,Different
37,Volante regulable en altura,De serie,N/A,Different
38,Alfombrillas de velours,De serie,N/A,Different
39,Sensores de desgaste de pastillas de frenos,De serie,N/A,Different
40,Espejos exteriores eléctricos,De serie,N/A,Different
41,Llantas de aleación de 48 cm - 9 x 19 (245/35) diseño Blade de 5 radios (45V),N/A,1.830 €,Different
42,Navegación Professional,3.096 €,N/A,Different
43,Revestimientos interiores Alu Shadow cepillado,De serie,N/A,Different
44,Neumáticos traseros,285/35 R19 Z,245/40 R18,Different
45,Volante regulable en longitud,De serie,N/A,Different
46,Retrovisores exteriores con calefacción,N/A,155 €,Different
47,"Automatismo de parada y arranque del motor (""Stop/Start"")",No,Sí,Different
48,Audi drive select (distintas configuraciones del comportamiento del vehículo),N/A,De serie,Different
49,name,M5,TTS Roadster 2.0 TFSI 228 kW (310 CV) quattro S tronic 6 vel.,Different
50,Luces de salida en puertas delanteras,De serie,N/A,Different
51,Alerón trasero abatible automáticamente,N/A,De serie,Different
52,Pintura Gris Daytona o Audi Exclusive,N/A,2.930 €,Different
53,Paquete brillante en negro Audi exclusive,N/A,610 €,Different
54,Disposición de los cilindros,En V,En línea,Different
55,Molduras interiores aluminio rectificado de precisión,411 €,N/A,Different
56,Bolsa para esquíes,Sólo en paquete,N/A,Different
57,Lavafaros,De serie,355 €,Different
58,longitud,4.855,4.191,Different
59,Levas de cambio S tronic en volante,N/A,De serie,Different
60,Reglaje eléctrico de los asientos delanteros con memoria en lado conductor,De serie,N/A,Different
61,Pintura blanco Ibis,N/A,260 €,Different
62,Control distancia aparcamiento (PDC) delantero,De serie,N/A,Different
63,Triángulos para señalización de emergencia,N/A,De serie,Different
64,Tapicería S line en cuero Napa,N/A,590 €,Different
65,Elevalunas electricos traseros,De serie,N/A,Different
66,Paquete iluminación interior LED,N/A,De serie,Different
67,Capó activo (protección de los peatones),N/A,De serie,Different
68,Llantas de aleación de 48 cm - 9 x 19 (245/35) diseño turbina de 5 brazos (CW0),N/A,1.830 €,Different
69,Control de velocidad (Tempomat),N/A,365 €,Different
70,Precio (con descuento y equipamiento seleccionado)104.400 €,Coste opciones seleccionadas: 0 €,N/A,Different
71,Conexión AUX In,De serie,N/A,Different
72,Alarma antirrobo,De serie,490 €,Different
73,Combustible,Gasolina,Gasolina,Same
74,Asientos delanteros ventilados,998 €,N/A,Different
75,Audi parking system trasero,N/A,550 €,Different
76,Muelle suspensión trasera,Resorte helicoidal,Resorte helicoidal,Same
77,Control por voz,537 €,Sólo en paquete,Different
78,Revestimiento de madera noble,678 €,N/A,Different
79,Ajuste eléctrico del volante,De serie,N/A,Different
80,Distintivo ambiental DGT,C,C,Same
81,Diámetro de frenos traseros,370 mm,310 mm,Different
82,potencia,507,310,Different
83,Luces del vano de pies delante,De serie,N/A,Different
84,Set de reparación de neumáticos,N/A,De serie,Different
85,Desactivación manual airbag frontal pasajero,Sólo en paquete,N/A,Different
86,Radio CD Business con MP3,De serie,N/A,Different
87,Situación,Delantero longitudinal,Delantero transversal,Different
88,Control de estabilidad (DSC),De serie,N/A,Different
89,Retrovisores exteriores con plegado eléctrico,Sólo en paquete,N/A,Different
90,Retrovisores exteriores abatibles eléctricamente,N/A,Sólo en paquete,Different
91,Impuesto de matriculación,"14,75 %","4,75 %",Different
92,Gato para elevación del vehículo,N/A,0 €,Different
93,3 reposacabezas traseros,De serie,N/A,Different
94,Material de la culata,Aluminio,Aluminio,Same
95,Normativa de emisiones,N/A,Euro 6,Different
96,Tarifa de,10/2009,05/2018,Different
97,Reposacabezas delanteros activos,Sólo en paquete,N/A,Different
98,Acristalamiento de protección solar (ventanillas laterales y luneta traseras),420 €,N/A,Different
99,maletero,500,280,Different
100,Conexión Bluetooth para telefóno móvil,N/A,Sólo en paquete,Different
101,Tornillos antirrobo,N/A,De serie,Different
102,"Audi virtual cockpit (panel de instrumentos digital TFT de 31,2 cm)",N/A,De serie,Different
103,"Bang & Olufsen sound system (12 altavoces, 14 canales, 680 W)",N/A,755 €,Different
104,Relación de compresión,12 a 1,"9,3 a 1",Different
105,Elevalunas electricos delanteros,De serie,N/A,Different
106,Paragolpes en color carrocería,De serie,N/A,Different
107,Paquete fumador,N/A,35 €,Different
108,Asistente de luz de carretera,185 €,N/A,Different
109,Indicador de pérdida de presión en neumáticos,De serie,N/A,Different
110,Levas de cambio SMG en volante,De serie,N/A,Different
111,Función de memoria en asiento acompañante,Sólo en paquete,N/A,Different
112,Longitud,4.855 mm,4.191 mm,Different
113,Sensor de ocupación sólo para asiento acompañante,De serie,N/A,Different
114,Dirección asistida Servotronic,De serie,N/A,Different
115,Doble salida redonda del silenciador (a izquierda y derecha),De serie,N/A,Different
116,Spoiler trasero M,0 €,N/A,Different
117,Tipo de frenos traseros,Disco ventilado,Disco,Different
118,Cinturones de seguridad delanteros con limitador de fuerza y tensor,De serie,N/A,Different
119,Barra estabilizadora delantera,Sí,Sí,Same
120,Guarnecido interior de techo en antracita,De serie,N/A,Different
121,Asistente de cambio de carril (side assist),N/A,675 €,Different
122,Descuento oficial,0 €,0 €,Same
123,Regulación de altura de faros,De serie,N/A,Different
124,Cierre centralizado,De serie,De serie,Same
125,Llantas de aleación de 48 cm - 9 x 19 (245/35) de 5 radios (45U),N/A,1.465 €,Different
126,Aviso de límite de velocidad por reconocimiento de señales (solo con MMI navegación plus),N/A,185 €,Different
127,Anchura,1.846 mm,1.832 mm,Different
128,Interfaz para localización de vehículos,N/A,135 €,Different
129,Faros de xenón plus,N/A,De serie,Different
130,Pilotos traseros Matrix OLED,N/A,1.015 €,Different
131,Asientos delanteros con regulación lumbar eléctrica,N/A,De serie,Different
132,Tapicería S line en Alcantara / cuero,N/A,De serie,Different
133,Retrovisor interior con antideslumbramiento aut.,260 €,N/A,Different
134,Memoria para música de 10 GB,N/A,Sólo en paquete,Different
135,Preparación para intercambiador de CD,85 €,N/A,Different
136,Intercambiador de 6 CD,529 €,N/A,Different
137,Volante multifuncional,De serie,N/A,Different
138,Asientos delanteros deportivos S,N/A,De serie,Different
139,Preparación para DVD en parte trasera,111 €,N/A,Different
140,Llantas Traseras,9.5 x 19,8.5 x 18,Different
141,"Tapicería de cuero ""Merino"" ampliado",De serie,N/A,Different
142,Audio BMW Individual High End (i/ amplificador digital y 16 altavoces),2.588 €,N/A,Different
143,Potencia máxima,507 CV / 373 kW,310 CV / 228 kW,Different
144,Control de estabilidad (ESC),N/A,De serie,Different
145,Indicador de presión de neumáticos,N/A,De serie,Different
146,Retrovisores exteriores en negro brillante (solo con Paquete brillante en negro Audi exclusive),N/A,130 €,Different
147,Número de puertas,4,2,Different
148,Pintura metalizada Azul Ara,N/A,1.220 €,Different
149,Bloqueo M variable del diferencial,De serie,N/A,Different
150,MMI navegación plus,N/A,Sólo en paquete,Different
151,Diámetro,92 mm,"82,5 mm",Different
152,Distribución de asientos,2 + 3,2,Different
153,Respaldo regulable en anchura para conductor y acompañante,0 €,N/A,Different
154,Iluminación interior de encendido y apagado progresivos,De serie,N/A,Different
155,Distribución electrónica de la fuerza de frenado (EBV),N/A,De serie,Different
156,consumo,"14,4","6,9",Different
157,Inserciones en negro piano en la consola central y en la puerta,N/A,475 €,Different
158,Diámetro de frenos delanteros,374 mm,338 mm,Different
159,Tracción permanente quattro,N/A,De serie,Different
160,Persiana solar eléctrica en luneta trasera,469 €,N/A,Different
161,2 luces de lectura traseras,De serie,N/A,Different
162,Asistente de mantenimiento de carril (active lane assist),N/A,De serie,Different
163,Velocidad máxima,250 km/h,250 km/h,Same
164,Volante con ajuste vertical,N/A,De serie,Different
165,Asientos delanteros con soporte lumbar,443 €,N/A,Different
166,Llantas de aleación de 51 cm - 9 x 20 (255/30) de 10 radios en Y (CE5),N/A,2.320 €,Different
167,Asistente a la frenada de emergencia (SAFE) y frenado anti-colisiones múltiples,N/A,De serie,Different
168,Sintonizador de TV,1.331 €,N/A,Different
169,Preinstalación de teléfono con Bluetooth,913 €,N/A,Different
170,Muelle suspensión delantera,Resorte helicoidal,Resorte helicoidal,Same
171,Airbag frontal conductor,De serie,De serie,Same
172,Función start-stop,N/A,De serie,Different
173,Shadow Line de brillo intenso BMW Individual,De serie,N/A,Different
174,Acceso confort (sin llave),1.221 €,N/A,Different
175,Audi phone box (conexión Bluetooth mediante antena exterior),N/A,Sólo en paquete,Different
176,Freno de estacionamiento electromecánico,N/A,De serie,Different
177,"Tapicería de cuero integral ""Merino""",9.495 €,N/A,Different
178,Faros de xenón,De serie,N/A,Different
179,Llantas de aleación M 19 (del. 255/40 tras. 285/35) de radios dobles (estilo 167 M) forjadas y pulidas,1.603 €,N/A,Different
180,Asientos delanteros multifuncionales M,Sólo en paquete,N/A,Different
181,Alimentación,Inyección Indirecta.,Inyección mixta directa/indirecta. Turbo. Intercooler,Different
182,Climatizador confort,N/A,De serie,Different
183,M Drive,De serie,N/A,Different
184,Neumáticos delanteros,255/40 R19 Z,245/40 R18,Different
185,Mando de apertura a distancia,De serie,N/A,Different
186,Mandos multifunción en volante,N/A,De serie,Different
187,Red en parte posterior de asientos delanteros,N/A,Sólo en paquete,Different
188,Cambio secuencial SMG II con Drivelogic,De serie,N/A,Different
189,Tipo de Embrague,N/A,Dos embragues multidisco bañados en aceite,Different
190,Asientos delanteros M,De serie,N/A,Different
191,Red sujetaequipajes en el maletero,N/A,Sólo en paquete,Different
192,Factor de resistencia,"0,7","0,65",Different
193,Filtro de carbono activo,De serie,N/A,Different
194,Función Follow Me Home,De serie,N/A,Different
195,Audi parking system delantero,N/A,Sólo en paquete,Different
196,Material del bloque,Aluminio,Hierro,Different
197,Airbag laterales delanteros,De serie,N/A,Different
198,Caja de cambios,Automático,Automático,Same
199,Bocina de doble tono,De serie,N/A,Different
200,Enganche de remolque con bola separable,1.024 €,N/A,Different
201,Lunas tintadas en verde,De serie,N/A,Different
202,Volante M de cuero,De serie,N/A,Different
203,Asistente de frenada,De serie,N/A,Different
204,Número de velocidades,7,6,Different
205,price,Precio,Precio,Same
206,Estructura suspensión delantera,Tipo McPherson,Tipo McPherson,Same
207,Carrera,"75,2 mm","92,8 mm",Different
208,Pantalla táctil (MMI touch),N/A,Sólo en paquete,Different
209,Sintonizador DAB (radio digital),555 €,N/A,Different
210,2 luces de lectura delanteras,De serie,N/A,Different
211,Inserciones interiores en aluminio,N/A,De serie,Different
212,Interfaz USB audio,370 €,N/A,Different
213,Control de tracción (ASC),De serie,N/A,Different
214,Control distancia aparcamiento (PDC) trasero,De serie,N/A,Different
215,Audi Magnetic Ride (amortiguación variable),N/A,De serie,Different
216,Antibloqueo de frenos (ABS),De serie,De serie,Same
217,Apoyabrazos central trasero,De serie,N/A,Different
218,Radio BMW Professional,507 €,N/A,Different
219,Llantas de aleación de 48 cm - 9 x 19 (245/35) de 5 radios dobles en acabado titanio mate (U06),N/A,1.830 €,Different
220,Desactivador de airbag del pasajero,N/A,De serie,Different
221,Capota de lona eléctrica,N/A,De serie,Different
222,Batalla,2.889 mm,2.505 mm,Different
223,Franja verde en parabrisas,99 €,N/A,Different
224,Apertura remota del depósito de combustible,De serie,N/A,Different
225,2 toberas de lavado de parabrisas calefactables,De serie,N/A,Different
226,Audi hold assist (arranque cómodo en pendiente),N/A,De serie,Different
227,Retrovisores exteriores en aluminio,N/A,De serie,Different
228,Retrovisores exteriores con antideslumbramiento automático,Sólo en paquete,Sólo en paquete,Same
229,Conexión AUX-In,N/A,De serie,Different
230,Iluminación adicional del maletero,De serie,N/A,Different
231,Retrovisores exteriores eléctricos,N/A,De serie,Different
232,Airbag frontal pasajero,De serie,De serie,Same
233,Portabebidas delanteros y traseros,De serie,N/A,Different
234,Tomas 12V delante y detrás,De serie,N/A,Different
235,Anclajes para asiento infantil ISOFIX en el asiento del acompañante,N/A,De serie,Different
236,Altavoces HiFi (10 ud.),704 €,N/A,Different
237,Retrovisores exteriores M en color de carrocería,De serie,N/A,Different
238,Volante calefactado,308 €,N/A,Different
239,Precio (con descuento y equipamiento seleccionado),104.400 €,64.670 €,Different
240,Revoluciones par máximo,6.100 rpm,1.800 - 5.700 rpm,Different
241,"Iluminación selectiva por cámara, sensores y GPS, luz de curva dinámica, luz para cruces por GPS",N/A,Sólo en paquete,Different
242,Aceleración 0-100 km/h,"4,7 s","4,9 s",Different
243,Toma de 12 V en el maletero,N/A,Sólo en paquete,Different
244,Audi smartphone interface (Android auto y Apple CarPlay),N/A,445 €,Different
245,Volante deportivo de tres radios achatado en cuero,N/A,De serie,Different
